"Gene Symbol","MGI Gene Id","# Phenotype Hits","Phenotype Hits"
"Agap1","MGI:2653690","16","abnormal tooth morphology::abnormal cornea morphology::abnormal cranium morphology::increased circulating alkaline phosphatase level::cataract::persistence of hyaloid vascular system::absent pinna reflex::preweaning lethality, incomplete penetrance::corneal opacity::increased circulating potassium level::abnormal skin coloration::abnormal iris morphology::abnormal snout morphology::abnormal lens morphology::fused cornea and lens::abnormal auditory brainstem response"
"Osbpl11","MGI:2146553","4","preweaning lethality, complete penetrance::improved glucose tolerance::decreased circulating triglyceride level::increased total body fat amount"
"Abcb9","MGI:1861729","4","increased grip strength::decreased prepulse inhibition::small adrenal glands::enlarged lymph nodes"
"Tent4a","MGI:2682295","11","vertebral transformation::increased circulating alkaline phosphatase level::hyperactivity::abnormal testis morphology::small testis::decreased anxiety-related response::abnormal vertebrae morphology::abnormal vertebral arch morphology::enlarged gallbladder::abnormal auditory brainstem response::abnormal gallbladder morphology"
"Rd3","MGI:1921273","8","abnormal eye anterior chamber depth::abnormal retina outer nuclear layer morphology::decreased mean corpuscular hemoglobin concentration::increased hematocrit::decreased total retina thickness::abnormal eye posterior chamber depth::abnormal retina inner nuclear layer morphology::increased cornea thickness"
"Pcnx4","MGI:1914958","1","abnormal auditory brainstem response"
"Cldn3","MGI:1329044","2","increased circulating alkaline phosphatase level::abnormal vocalization"
"Rala","MGI:1927243","1","preweaning lethality, incomplete penetrance"
"Mex3b","MGI:1918252","9","abnormal tooth morphology::vertebral transformation::hyperactivity::abnormal ovary morphology::decreased body weight::abnormal kidney morphology::increased freezing behavior::abnormal vertebrae morphology::abnormal vertebral arch morphology"
"Pcnx2","MGI:2445010","5","hyperactivity::decreased bone mineral content::increased circulating total protein level::decreased bone mineral density::decreased grip strength"
"Ralb","MGI:1927244","2","abnormal vertebral arch morphology::increased leukocyte cell number"
"Cldn9","MGI:1913100","2","increased basophil cell number::abnormal startle reflex"
"Thegl","MGI:1919118","2","increased circulating chloride level::tremors"
"Psmf1","MGI:1346072","1","preweaning lethality, complete penetrance"
"Ccdc50","MGI:1914751","4","increased circulating alkaline phosphatase level::increased grip strength::impaired glucose tolerance::decreased hematocrit"
"Vps25","MGI:106354","6","preweaning lethality, complete penetrance::embryonic lethality prior to tooth bud stage::decreased lean body mass::increased total body fat amount::embryonic lethality prior to organogenesis::abnormal embryo size"
"Ccdc51","MGI:1913908","2","increased fasting circulating glucose level::increased mean corpuscular hemoglobin"
"Abcc2","MGI:1352447","10","increased circulating cholesterol level::decreased mean platelet volume::increased circulating HDL cholesterol level::increased kidney weight::increased circulating alanine transaminase level::decreased mean corpuscular volume::decreased lymphocyte cell number::increased circulating bilirubin level::increased neutrophil cell number::increased circulating aspartate transaminase level"
"Prkcsh","MGI:107877","3","preweaning lethality, complete penetrance::embryonic lethality prior to organogenesis::abnormal startle reflex"
"Ehmt2","MGI:2148922","6","preweaning lethality, complete penetrance::embryonic lethality prior to tooth bud stage::hyperactivity::embryonic growth retardation::abnormal locomotor behavior::decreased exploration in new environment"
"Abcc8","MGI:1352629","2","impaired glucose tolerance::increased lean body mass"
"Abcc5","MGI:1351644","9","limb grasping::decreased leukocyte cell number::decreased eosinophil cell number::increased startle reflex::decreased lymphocyte cell number::decreased circulating glucose level::decreased circulating calcium level::impaired glucose tolerance::increased blood urea nitrogen level"
"Arap1","MGI:1916960","5","short tibia::decreased pulmonary ventilation::decreased pulmonary respiratory rate::atrophy/Eye - MPATH pathological process term::cataract/Eye - MPATH pathological entity term"
"Tent5a","MGI:2670964","37","abnormal tooth morphology::abnormal spine curvature::abnormal cranium morphology::increased circulating alkaline phosphatase level::decreased body weight::abnormal gait::scoliosis::short tibia::enhanced cued conditioning behavior::abnormal pelvic girdle bone morphology::decreased exploration in new environment::abnormal scapula morphology::increased circulating potassium level::abnormal humerus morphology::decreased circulating serum albumin level::decreased locomotor activity::abnormal fibula morphology::abnormal mandible morphology::abnormal joint morphology::increased monocyte cell number::increased granulocyte number::decreased circulating glucose level::abnormal radius morphology::decreased lymphocyte cell number::increased anxiety-related response::abnormal tibia morphology::decreased Ly6C-positive mature NK cell number::increased freezing behavior::abnormal bone structure::increased neutrophil cell number::impaired righting response::abnormal rib morphology::thrombocytosis::abnormal ulna morphology::decreased respiratory quotient::abnormal femur morphology::increased leukocyte cell number"
"Arap3","MGI:2147274","3","decreased thigmotaxis::hyperactivity::impaired pupillary reflex"
"Ehmt1","MGI:1924933","23","increased thigmotaxis::preweaning lethality, complete penetrance::abnormal retina blood vessel morphology::abnormal behavior::impaired pupillary reflex::increased anxiety-related response::increased lean body mass::decreased exploration in new environment::irregularly shaped pupil::abnormal retina vasculature morphology::increased circulating LDL cholesterol level::persistence of hyaloid vascular system::increased neutrophil cell number::corneal opacity::abnormal optic disk morphology::increased circulating cholesterol level::abnormal iris morphology::decreased circulating creatinine level::decreased circulating serum albumin level::increased grip strength::decreased locomotor activity::decreased blood urea nitrogen level::increased mean platelet volume"
"Raly","MGI:97850","4","increased circulating triglyceride level::abnormal pancreas morphology::short tibia::abnormal lung morphology"
"Abcc9","MGI:1352630","2","increased monocyte cell number::decreased lymphocyte cell number"
"Tent5c","MGI:1921895","3","preweaning lethality, complete penetrance::decreased mean corpuscular hemoglobin::increased grip strength"
"Ghrhr","MGI:95710","18","decreased mean corpuscular hemoglobin::hyperactivity::decreased bone mineral content::decreased vertical activity::increased circulating alanine transaminase level::thrombocytopenia::decreased circulating glucose level::decreased heart weight::decreased bone mineral density::decreased lean body mass::abnormal bone structure::increased circulating triglyceride level::increased grip strength::abnormal sleep behavior::increased circulating aspartate transaminase level::increased total body fat amount::abnormal auditory brainstem response::decreased body length"
"Mcam","MGI:1933966","3","increased bone mineral content::abnormal vocalization::increased vertical activity"
"Psmg1","MGI:1860263","10","preweaning lethality, complete penetrance::abnormal neural tube closure::embryonic growth retardation::abnormal visceral yolk sac morphology::abnormal neural tube morphology::abnormal embryo turning::embryonic lethality prior to organogenesis::abnormal pharyngeal arch morphology::corneal opacity::abnormal embryo size"
"Vps11","MGI:1918982","1","preweaning lethality, complete penetrance"
"Ccdc40","MGI:2443893","4","increased circulating alanine transaminase level::male infertility::increased circulating glucose level::increased leukocyte cell number"
"Abo","MGI:2135738","3","abnormal testis morphology::small testis::abnormal skin morphology"
"Wdhd1","MGI:2443514","12","preweaning lethality, complete penetrance::abnormal liver morphology::enlarged thyroid gland::enlarged heart::increased kidney weight::abnormal kidney morphology::enlarged kidney::abnormal thyroid gland morphology::increased circulating bilirubin level::increased circulating aspartate transaminase level::abnormal heart morphology::embryonic lethality prior to organogenesis"
"Bcan","MGI:1096385","1","increased circulating alkaline phosphatase level"
"Mfsd10","MGI:1915544","1","decreased leukocyte cell number"
"Chic2","MGI:1921527","10","enlarged spleen::decreased bone mineral content::enlarged heart::increased circulating alanine transaminase level::abnormal coat/hair pigmentation::iris synechia::increased circulating amylase level::enlarged ovary::preweaning lethality, incomplete penetrance::inflammation/Esophagus - MPATH process term"
"Ccdc39","MGI:1289263","1","preweaning lethality, incomplete penetrance"
"Ccdc34","MGI:1915451","2","male infertility::abnormal optic disk morphology"
"Cadm1","MGI:1889272","1","process of degenerative change/Testes - MPATH process term"
"Rrs1","MGI:1929721","4","preweaning lethality, complete penetrance::embryonic lethality prior to tooth bud stage::hyperactivity::decreased grip strength"
"Cldn1","MGI:1276109","1","preweaning lethality, complete penetrance"
"Zranb1","MGI:106441","3","thrombocytosis::increased lean body mass::preweaning lethality, incomplete penetrance"
"Btf3","MGI:1202875","14","enlarged urinary bladder::preweaning lethality, complete penetrance::increased mean corpuscular hemoglobin concentration::abnormal retina blood vessel morphology::decreased leukocyte cell number::decreased mean corpuscular hemoglobin::abnormal eye morphology::decreased lymphocyte cell number::abnormal retina vasculature morphology::decreased hematocrit::enlarged lymph nodes::increased red blood cell distribution width::decreased mean corpuscular volume::increased exploration in new environment"
"Abtb1","MGI:1933148","6","enlarged spleen::abnormal spleen morphology::increased fasting circulating glucose level::enlarged heart::abnormal skin morphology::abnormal heart morphology"
"a","MGI:87853","3","abnormal kidney morphology::small kidney::abnormal skin morphology"
"Abtb2","MGI:2139365","2","decreased leukocyte cell number::increased grip strength"
"Bloc1s2","MGI:1920939","11","abnormal craniofacial morphology::preweaning lethality, complete penetrance::decreased circulating free fatty acids level::pale liver::edema::increased circulating alanine transaminase level::thrombocytopenia::abnormal placenta size::abnormal pericardium morphology::abnormal limb bud morphology::hemorrhage"
"Ace","MGI:87874","4","preweaning lethality, complete penetrance::embryonic growth retardation::hyperactivity::abnormal embryo size"
"Bloc1s3","MGI:2678952","1","preweaning lethality, incomplete penetrance"
"Plk1","MGI:97621","3","preweaning lethality, complete penetrance::embryonic lethality prior to tooth bud stage::embryonic lethality prior to organogenesis"
"Bloc1s6","MGI:1927580","9","increased circulating serum albumin level::enlarged spleen::abnormal spleen morphology::abnormal eye morphology::enlarged heart::abnormal coat/hair pigmentation::abnormal skin morphology::abnormal lymph node morphology::abnormal heart morphology"
"Rdx","MGI:97887","3","female infertility::increased mean corpuscular hemoglobin::preweaning lethality, incomplete penetrance"
"BC049715","MGI:3605234","3","decreased hemoglobin content::decreased erythrocyte cell number::decreased hematocrit"
"Cyb561a3","MGI:2686925","6","increased fasting circulating glucose level::decreased mean platelet volume::cataract::abnormal retina morphology::abnormal lens morphology::persistence of hyaloid vascular system"
"Ccdc33","MGI:1922464","1","short tibia"
"Sec61b","MGI:1913462","2","abnormal ovary morphology::hyperactivity"
"Bmpr1b","MGI:107191","12","small liver::abnormal liver morphology::female infertility::abnormal testis morphology::abnormal seminal vesicle morphology::small testis::small seminal vesicle::irregularly shaped pupil::abnormal autopod morphology::abnormal bone structure::decreased grip strength::abnormal optic disk morphology"
"Ell2","MGI:2183438","6","decreased circulating serum albumin level::increased circulating alkaline phosphatase level::cataract::increased grip strength::abnormal lens morphology::abnormal retina morphology"
"Asf1a","MGI:1913653","10","preweaning lethality, complete penetrance::increased circulating insulin level::decreased thigmotaxis::embryonic lethality prior to tooth bud stage::abnormal neural tube closure::increased circulating alkaline phosphatase level::embryonic growth retardation::abnormal embryo turning::abnormal neural tube morphology::abnormal embryo size"
"Abca1","MGI:99607","5","preweaning lethality, complete penetrance::hypoplasia/Eye - MPATH pathological process term::unresponsive to tactile stimuli::abnormal locomotor behavior::abnormal embryo size"
"Abca2","MGI:99606","4","increased circulating phosphate level::hyperactivity::increased exploration in new environment::decreased grip strength"
"Ccdc25","MGI:1914429","8","abnormal placenta morphology::cataract::small spleen::abnormal vitreous body morphology::no spontaneous movement::preweaning lethality, incomplete penetrance::abnormal placenta vasculature::absent optic nerve"
"Abca6","MGI:1923434","6","hyperplasia/Spleen - MPATH pathological process term::hyperplasia/Bone marrow - MPATH pathological process term::decreased circulating serum albumin level::decreased mean corpuscular hemoglobin concentration::increased hematocrit::increased circulating aspartate transaminase level"
"Abca3","MGI:1351617","1","preweaning lethality, complete penetrance"
"Abca4","MGI:109424","1","vertebral fusion"
"Rel","MGI:97897","4","decreased monocyte cell number::tremors::impaired glucose tolerance::absent vibrissae"
"Abca9","MGI:2386796","1","decreased thigmotaxis"
"Abca7","MGI:1351646","4","increased fasting circulating glucose level::decreased circulating iron level::decreased circulating glucose level::abnormal sleep behavior"
"Acadsb","MGI:1914135","3","decreased thigmotaxis::hyperactivity::abnormal lens morphology"
"Mfsd2a","MGI:1923824","6","enlarged epididymis::abnormal epididymis morphology::enlarged testis::abnormal testis morphology::preweaning lethality, incomplete penetrance::abnormal embryo size"
"Fgf17","MGI:1202401","1","increased grip strength"
"Btg2","MGI:108384","4","increased fasting circulating glucose level::increased mean corpuscular volume::hyperactivity::increased mean corpuscular hemoglobin"
"Fgf14","MGI:109189","10","abnormal spine curvature::enlarged thyroid gland::abnormal spleen morphology::increased circulating alkaline phosphatase level::decreased body weight::abnormal kidney morphology::abnormal thyroid gland morphology::kyphosis::decreased grip strength::abnormal skin morphology"
"Fgf15","MGI:1096383","7","preweaning lethality, complete penetrance::edema::abnormal placenta size::hydrocephaly::abnormal brain morphology::abnormal heart morphology::abnormal embryo size"
"Btg1","MGI:88215","13","enlarged spleen::increased mean corpuscular volume::abnormal ovary morphology::abnormal kidney morphology::decreased lymphocyte cell number::enlarged kidney::increased mean corpuscular hemoglobin::increased eosinophil cell number::enlarged ovary::abnormal skin morphology::increased heart weight::enlarged uterus::abnormal uterus morphology"
"Pllp","MGI:1915051","5","abnormal kidney morphology::abnormal testis morphology::enlarged testis::small kidney::abnormal skin morphology"
"Adk","MGI:87930","11","abnormal spine curvature::preweaning lethality, complete penetrance::abnormal thymus morphology::abnormal spleen morphology::increased lung tissue damping::enlarged lung::decreased locomotor activity::decreased exploration in new environment::abnormal lung morphology::enlarged thymus::abnormal skin morphology"
"Fgf12","MGI:109183","2","abnormal coat appearance::decreased thigmotaxis"
"Fgf10","MGI:1099809","11","increased circulating cholesterol level::preweaning lethality, complete penetrance::decreased thigmotaxis::decreased leukocyte cell number::increased circulating HDL cholesterol level::decreased locomotor activity::abnormal behavior::decreased lean body mass::decreased grip strength::inflammation/Eye with optic nerve - MPATH process term::increased total body fat amount"
"H4f16","MGI:2448443","2","abnormal kidney morphology::enlarged kidney"
"Ccdc18","MGI:1922974","6","increased circulating triglyceride level::increased circulating alkaline phosphatase level::increased circulating total protein level::increased circulating free fatty acids level::increased circulating glycerol level::increased circulating sodium level"
"Fam168a","MGI:2442372","4","increased circulating phosphate level::decreased thigmotaxis::abnormal behavior::abnormal retina morphology"
"Mtg1","MGI:2685015","5","preweaning lethality, complete penetrance::decreased thigmotaxis::increased heart rate::shortened RR interval::embryonic lethality prior to organogenesis"
"Mtg2","MGI:106565","2","preweaning lethality, complete penetrance::embryonic lethality prior to organogenesis"
"Rfk","MGI:1914688","10","single kidney::preweaning lethality, complete penetrance::abnormal spleen morphology::abnormal kidney morphology::small kidney::enlarged testis::abnormal testis morphology::small spleen::persistence of hyaloid vascular system::embryonic lethality prior to organogenesis"
"Gars","MGI:2449057","9","preweaning lethality, complete penetrance::increased circulating triglyceride level::abnormal sternum morphology::abnormal eye morphology::small spleen::decreased exploration in new environment::abnormal stomach morphology::abnormal skin morphology::embryonic lethality prior to organogenesis"
"Frmd4a","MGI:1919850","2","preweaning lethality, complete penetrance::abnormal retina blood vessel morphology"
"Gart","MGI:95654","3","preweaning lethality, complete penetrance::embryonic lethality prior to tooth bud stage::embryonic lethality prior to organogenesis"
"Frmd4b","MGI:2141794","2","abnormal skin coloration::increased vertical activity"
"Folh1","MGI:1858193","1","hyperactivity"
"Nup85","MGI:3046173","1","preweaning lethality, complete penetrance"
"Fgf20","MGI:1891346","36","abnormal tooth morphology::increased circulating serum albumin level::enlarged spleen::abnormal thymus morphology::increased circulating total protein level::vertebral fusion::abnormal seminal vesicle morphology::abnormal digit morphology::abnormal vertebral arch morphology::enlarged stomach::abnormal autopod morphology::enlarged lymph nodes::abnormal stomach morphology::decreased kidney weight::abnormal skin morphology::abnormal lymph node morphology::abnormal startle reflex::increased circulating cholesterol level::abnormal uterus morphology::increased blood urea nitrogen level::fusion of vertebral arches::abnormal heart morphology::abnormal liver morphology::abnormal spleen morphology::abnormal kidney morphology::increased circulating HDL cholesterol level::small kidney::abnormal thoracic cage shape::decreased prepulse inhibition::abnormal bone structure::enlarged thymus::corneal opacity::enlarged heart::decreased startle reflex::abnormal vertebrae morphology::abnormal nail morphology"
"Sdsl","MGI:2182607","3","increased circulating alanine transaminase level::decreased bone mineral density::abnormal bone structure"
"Fgf22","MGI:1914362","2","abnormal gait::increased circulating amylase level"
"Ttyh3","MGI:1925589","6","abnormal retina blood vessel morphology::increased mean corpuscular hemoglobin concentration::cataract::decreased mean corpuscular volume::increased exploration in new environment::impaired pupillary reflex"
"Mtf1","MGI:101786","12","preweaning lethality, complete penetrance::abnormal craniofacial morphology::abnormal forebrain morphology::prenatal lethality prior to heart atrial septation::microphthalmia::embryonic growth retardation::anophthalmia::decreased circulating glucose level::abnormal retina morphology::increased circulating aspartate transaminase level::abnormal embryo size::increased circulating potassium level"
"Zkscan17","MGI:2679270","3","preweaning lethality, complete penetrance::increased heart weight::thrombocytopenia"
"Epdr1","MGI:2145369","5","decreased lymphocyte cell number::short tibia::decreased locomotor activity::decreased exploration in new environment::increased neutrophil cell number"
"Psma8","MGI:1920927","11","enlarged urinary bladder::increased monocyte cell number::cataract::small thymus::abnormal pancreas morphology::abnormal seminal vesicle morphology::enlarged kidney::small testis::abnormal skin morphology::male infertility::small epididymis"
"Gas6","MGI:95660","4","increased red blood cell distribution width::increased circulating alkaline phosphatase level::enlarged heart::abnormal eye morphology"
"Gas7","MGI:1202388","6","increased mean corpuscular volume::decreased bone mineral content::decreased mean corpuscular hemoglobin concentration::decreased bone mineral density::decreased grip strength::increased total body fat amount"
"Psmc6","MGI:1914339","4","preweaning lethality, complete penetrance::decreased thigmotaxis::hyperactivity::embryonic lethality prior to organogenesis"
"Rufy1","MGI:2429762","1","decreased lean body mass"
"Nup93","MGI:1919055","1","embryonic lethality prior to organogenesis"
"Tmco6","MGI:1919233","3","decreased locomotor activity::preweaning lethality, incomplete penetrance::abnormal auditory brainstem response"
"Psmc2","MGI:109555","5","preweaning lethality, complete penetrance::abnormal gait::increased circulating bilirubin level::decreased circulating alkaline phosphatase level::decreased circulating total protein level"
"Rufy4","MGI:3588214","4","enlarged spleen::abnormal spleen morphology::increased freezing behavior::decreased exploration in new environment"
"Rufy2","MGI:1917682","1","impaired glucose tolerance"
"Rufy3","MGI:106484","2","preweaning lethality, complete penetrance::abnormal stomach morphology"
"Gemin6","MGI:1914492","1","preweaning lethality, complete penetrance"
"Gatb","MGI:2442496","1","preweaning lethality, complete penetrance"
"Nup98","MGI:109404","1","preweaning lethality, complete penetrance"
"Gemin4","MGI:2449313","6","increased circulating cholesterol level::increased circulating alkaline phosphatase level::increased circulating HDL cholesterol level::increased circulating total protein level::abnormal motor capabilities/coordination/movement::increased total body fat amount"
"Gemin5","MGI:2449311","3","preweaning lethality, complete penetrance::embryonic lethality prior to organogenesis::increased mean platelet volume"
"Ccl17","MGI:1329039","1","increased spleen weight"
"Tbccd1","MGI:1917823","4","abnormal skin coloration::female infertility::impaired glucose tolerance::male infertility"
"Gatm","MGI:1914342","25","decreased heart rate::thrombocytopenia::decreased exploration in new environment::decreased grip strength::increased circulating potassium level::decreased food intake::decreased locomotor activity::prolonged ST segment::decreased circulating alkaline phosphatase level::decreased circulating cholesterol level::cardiovascular system phenotype::prolonged QT interval::decreased prepulse inhibition::increased mean corpuscular hemoglobin::prolonged QRS complex duration::male infertility::increased heart rate variability::abnormal sinus arrhythmia::prolonged RR interval::abnormal QT variability::female infertility::decreased red blood cell distribution width::increased circulating amylase level::increased circulating aspartate transaminase level::decreased respiratory quotient"
"Eipr1","MGI:1289332","4","preweaning lethality, complete penetrance::decreased erythrocyte cell number::decreased hematocrit::embryonic lethality prior to organogenesis"
"Lrrc3","MGI:2447899","6","increased circulating phosphate level::hyperactivity::increased body length::decreased lymphocyte cell number::increased circulating calcium level::decreased grip strength"
"Rrp1b","MGI:1919712","1","abnormal vitreous body morphology"
"Fosb","MGI:95575","5","enlarged heart::abnormal kidney morphology::enlarged kidney::abnormal skin morphology::abnormal heart morphology"
"Tmco3","MGI:2444946","3","increased startle reflex::abnormal bone structure::increased bone mineral density"
"Tmco1","MGI:1921173","4","female infertility::preweaning lethality, incomplete penetrance::corneal opacity::increased leukocyte cell number"
"Lrrc2","MGI:1921499","1","decreased prepulse inhibition"
"Tmco2","MGI:1916719","1","decreased circulating fructosamine level"
"Psmd6","MGI:1913663","1","preweaning lethality, complete penetrance"
"Ankrd9","MGI:1921501","6","increased body length::increased bone mineral content::decreased total body fat amount::increased lean body mass::decreased erythrocyte cell number::abnormal bone structure"
"Psmd2","MGI:1096584","2","preweaning lethality, complete penetrance::embryonic lethality prior to organogenesis"
"Agl","MGI:1924809","21","increased circulating alkaline phosphatase level::increased fasting circulating glucose level::cataract::increased kidney weight::decreased bone mineral content::abnormal gait::increased circulating alanine transaminase level::decreased circulating glucose level::increased circulating iron level::impaired glucose tolerance::increased lean body mass::decreased bone mineral density::preweaning lethality, incomplete penetrance::increased circulating cholesterol level::increased circulating creatine kinase level::increased heart weight::tremors::decreased total body fat amount::increased circulating bilirubin level::increased circulating amylase level::increased circulating aspartate transaminase level"
"Scand1","MGI:1343132","2","increased circulating creatinine level::decreased red blood cell distribution width"
"Elp1","MGI:1914544","1","preweaning lethality, complete penetrance"
"Ankrd1","MGI:1097717","1","decreased body length"
"Ccl28","MGI:1861731","13","abnormal thymus morphology::abnormal liver morphology::enlarged spleen::abnormal spleen morphology::increased circulating alanine transaminase level::abnormal eye morphology::abnormal skin morphology::enlarged thymus::enlarged heart::increased grip strength::abnormal uterus morphology::hydrometra::abnormal heart morphology"
"Elp6","MGI:1919349","5","preweaning lethality, complete penetrance::increased circulating alanine transaminase level::decreased grip strength::increased circulating aspartate transaminase level::embryonic lethality prior to organogenesis"
"Ccl26","MGI:3589281","4","hyperactivity::improved glucose tolerance::increased mean corpuscular hemoglobin::abnormal sleep behavior"
"Pdzrn3","MGI:1933157","1","preweaning lethality, incomplete penetrance"
"Ccl25","MGI:1099448","4","enlarged spleen::increased grip strength::increased spleen weight::decreased fasting circulating glucose level"
"Ccl22","MGI:1306779","1","preweaning lethality, incomplete penetrance"
"Cyp21a1","MGI:88591","6","preweaning lethality, complete penetrance::enlarged spleen::decreased exploration in new environment::enhanced contextual conditioning behavior::preweaning lethality, incomplete penetrance::abnormal skin morphology"
"Eloa","MGI:1351315","10","small liver::preweaning lethality, complete penetrance::abnormal liver morphology::embryonic growth retardation::enlarged heart::abnormal eye morphology::anophthalmia::abnormal embryo turning::abnormal heart morphology::decreased body length"
"Tubb4b","MGI:1915472","1","preweaning lethality, incomplete penetrance"
"Tubb4a","MGI:107848","1","decreased fasting circulating glucose level"
"Atxn3","MGI:1099442","3","increased anti-nuclear antigen antibody level::decreased circulating fructosamine level::increased circulating aspartate transaminase level"
"Antkmt","MGI:2384888","7","decreased thigmotaxis::hyperactivity::increased circulating alanine transaminase level::abnormal uterus morphology::abnormal behavior::hydrometra::increased circulating aspartate transaminase level"
"Atxn7","MGI:2179277","4","increased startle reflex::increased bone mineral content::decreased prepulse inhibition::abnormal bone structure"
"Rnpepl1","MGI:1914170","5","cataract::increased vertical activity::hyperplasia/Lymph node - MPATH pathological process term::enlarged lymph nodes::abnormal lymph node morphology"
"Nepro","MGI:2384836","3","preweaning lethality, complete penetrance::embryonic lethality prior to organogenesis::abnormal embryo size"
"Cpgi11865","MGI:5676951","8","decreased mean platelet volume::increased circulating alkaline phosphatase level::decreased bone mineral content::increased blood urea nitrogen level::decreased bone mineral density::increased circulating amylase level::decreased lean body mass::decreased body length"
"Brinp3","MGI:2443035","10","abnormal cranium morphology::lordosis::abnormal kidney morphology::enlarged heart::abnormal behavior::abnormal vertebral arch morphology::rib fusion::abnormal rib morphology::abnormal heart morphology::abnormal urinary bladder morphology"
"Chrnb4","MGI:87892","1","increased grip strength"
"Chrnb2","MGI:87891","5","abnormal epididymis morphology::enlarged heart::preweaning lethality, incomplete penetrance::increased circulating aspartate transaminase level::increased total body fat amount"
"Pls3","MGI:104807","5","increased circulating phosphate level::increased circulating triglyceride level::increased circulating alkaline phosphatase level::increased grip strength::increased mean corpuscular hemoglobin"
"Adamts1","MGI:109249","14","eye hemorrhage::enlarged spleen::abnormal spleen morphology::abnormal blood vessel morphology::abnormal eye morphology::abnormal kidney morphology::small kidney::no spontaneous movement::abnormal body wall morphology::preweaning lethality, incomplete penetrance::abnormal tail morphology::abnormal placenta vasculature::abnormal heart morphology::small heart"
"Cerox1","MGI:1920084","1","decreased body length"
"Nfix","MGI:97311","7","decreased heart rate::prolonged RR interval::increased circulating alkaline phosphatase level::hyperactivity::abnormal retina morphology::increased mean platelet volume::increased basophil cell number"
"Tubb2b","MGI:1920960","1","preweaning lethality, incomplete penetrance"
"Adamts4","MGI:1339949","2","increased grip strength::abnormal bone structure"
"Tubb2a","MGI:107861","1","hyperactivity"
"Adamts3","MGI:3045353","1","preweaning lethality, complete penetrance"
"Dio1","MGI:94896","1","abnormal kidney morphology"
"Adamts9","MGI:1916320","8","embryonic growth retardation::enlarged heart::abnormal eye morphology::preweaning lethality, incomplete penetrance::abnormal heart morphology::abnormal lymph node morphology::embryonic lethality prior to organogenesis::abnormal embryo size"
"Ak3","MGI:1860835","1","decreased grip strength"
"Rab3gap2","MGI:1916043","11","decreased heart rate::prolonged RR interval::decreased circulating HDL cholesterol level::increased circulating alkaline phosphatase level::hyperactivity::abnormal snout morphology::thrombocytopenia::increased circulating bilirubin level::decreased hematocrit::narrow eye opening::abnormal optic disk morphology"
